Question,Answer,Keywords
"Apa saja materi yang diajarkan dalam program AEDS selain percakapan?","Program AEDS sangat komprehensif. Selain Conversation, santri juga diajarkan Reading (bacaan), Dictation (imla/dikte), Grammar (tata bahasa), Composition (mengarang), hingga Teaching Practice (praktik mengajar).","materi aeds, kurikulum bahasa, grammar, conversation, pelajaran inggris"
"Apa itu program TAKS (Ta’lim al-lughoh ‘arobiyah al-khususiyah)?","TAKS adalah program unggulan bahasa Arab intensif selama 3 bulan dengan frekuensi 3 kali pertemuan sehari. Ini dirancang untuk percepatan penguasaan bahasa Arab santri.","taks, bahasa arab, kursus arab, program khusus, intensif"
"Apakah santri diajarkan public speaking atau pidato?","Ya, kami memiliki kegiatan 'Muhadhoroh' atau latihan pidato (Khitobahan) dalam tiga bahasa (Indonesia, Arab, Inggris). Ini melatih mental dan skill retorika santri di depan umum.","pidato, public speaking, muhadhoroh, mental, khitobahan"
"Bagaimana metode menghafal di Pondok Tahfidz Al-Ikhsan?","Kami menggunakan metode Ziyadah (setoran hafalan baru) dan Murojaah (mengulang hafalan lama). Santri menyetor bacaan dengan sistem Sorogan (satu per satu) kepada pengasuh untuk menjaga kualitas tajwid.","metode hafal, tahfidz, ziyadah, murojaah, cara menghafal"
"Apa kitab tafsir yang dikaji di pondok ini?","Untuk santri tingkat lanjut atau yang sudah khatam Al-Quran bin-nadzor, kami mengkaji Tafsir Jalalain secara bandongan di masjid. Ini rujukan standar pesantren salaf.","tafsir, kitab tafsir, jalalain, kajian, ngaji tafsir"
"Apakah ada kelas khusus untuk anak yang ingin jadi guru bahasa Inggris?","Ada, kami punya program TOT (Training Of Trainer). Peserta dididik khusus selama ± 3 bulan dengan materi pedagogi (cara mengajar) agar siap menjadi instruktur bahasa Inggris yang handal.","jadi guru, instruktur, tot, training of trainer, mengajar"
"Kapan waktu kegiatan belajar Madrasah Diniyah (Kitab Kuning)?","Madrasah Diniyah dilaksanakan pada malam hari, tepatnya setelah Isya (sekitar pukul 20.20) hingga pukul 21.30. Setelah itu dilanjut sorogan kitab fiqih sesuai kelas.","jam ngaji, madin, diniyah, jadwal malam, waktu belajar"
"Apakah ijazah Madrasah Diniyah bisa dipakai melanjutkan studi?","Ijazah Diniyah bersifat lokal pesantren sebagai bukti penguasaan ilmu agama. Untuk melanjutkan studi ke universitas umum, yang dipakai adalah ijazah formal (MA/SMA). Namun, ijazah Diniyah sangat berguna untuk masuk perguruan tinggi Islam (UIN/IAIN/Timur Tengah).","ijazah diniyah, syahadah, sertifikat, kuliah, legalitas"
"Apa bedanya tingkat Awaliyah, Tsanawiyah, dan Ulya di Diniyah?","Itu adalah jenjang kemampuan kitab kuning. Awaliyah untuk pemula (dasar), Tsanawiyah untuk menengah, dan Ulya (Aliyah) untuk tingkat lanjut yang mengkaji kitab-kitab yang lebih kompleks/tebal.","tingkatan, kelas diniyah, level ngaji, ulya, awaliyah"
"Apakah ada pelajaran komputer?","Sesuai rencana pengembangan, kami mengadakan Laboratorium Komputer untuk menunjang keterampilan teknologi santri, sehingga mereka tidak gaptek (gagap teknologi) di era digital.","komputer, lab, ti, teknologi, skill digital"
"Bagaimana jika anak saya lemah di pelajaran Matematika sekolah formal?","Di sekolah formal (MI/MTs/MA), guru-guru kami siap memberikan bimbingan tambahan. Selain itu, teman sekamar (senior) seringkali membantu adik kelasnya belajar (tutorial teman sebaya).","matematika, pelajaran umum, remidi, les, bimbingan"
"Apakah santri diajarkan seni Hadroh atau Rebana?","Ya, ekstrakurikuler Hadroh/Rebana/Banjari dilaksanakan setiap Minggu sore. Ini wadah bagi santri yang memiliki bakat seni islami dan sering tampil di acara-acara pondok.","hadroh, rebana, seni, musik islami, banjari"
"Apakah ada kegiatan pramuka di sekolahnya?","Di lembaga formal (MTs/MA), Pramuka adalah ekstrakurikuler wajib yang membentuk karakter disiplin, kerjasama, dan cinta alam, sesuai kurikulum nasional.","pramuka, ekskul wajib, kepanduan, disiplin"
"Bagaimana nasib santri yang sakit kulit (gudik/scabies)?","Penyakit kulit adalah musuh bersama. Kami melakukan pencegahan dengan menjemur kasur rutin (Roan). Jika terkena, santri diisolasi pengobatannya di Poskestren dan bajunya wajib dicuci air panas/disetrika.","gudik, scabies, gatal, penyakit kulit, kesehatan"
"Apakah lulusan Al-Ikhsan bisa masuk AKPOL atau TNI?","Bisa. Selama santri bersekolah di MA (Madrasah Aliyah) kami, mereka mendapatkan ijazah negara yang sah untuk mendaftar TNI, Polri, atau kedinasan lainnya, ditambah bekal mental pesantren yang kuat.","akpol, tni, polisi, kedinasan, prospek kerja"
"Apa itu kegiatan 'Bahtsul Masail'?","Bahtsul Masail adalah forum diskusi tingkat lanjut (biasanya untuk santri Ulya/Mahasiswa) untuk memecahkan masalah kekinian berdasarkan hukum fiqih. Ini melatih nalar kritis santri.","bahtsul masail, diskusi hukum, forum, debat, fiqih"
"Apakah ada ujian semester untuk Diniyah?","Ada. Ujian Diniyah (Imtihan) diadakan setiap akhir semester untuk mengevaluasi pemahaman kitab. Ada ujian tulis dan ujian lisan (baca kitab gundul).","ujian, imtihan, tes kitab, evaluasi, semester"
"Siapa target peserta program Junior English Trainer (JET)?","JET ditargetkan untuk santri usia lepas SD atau masa SLTP (SMP/MTs). Ini pembekalan skill bahasa sejak dini agar saat dewasa mereka sudah fasih.","target jet, usia peserta, smp, anak-anak, bahasa inggris"
"Apakah santri diajarkan kemandirian finansial/wirausaha?","Secara tidak langsung, melalui pengelolaan koperasi santri atau kepanitiaan acara, santri belajar manajemen dan tanggung jawab. Visi kami memang mencetak santri yang mandiri.","wirausaha, bisnis, mandiri, entrepreneur, dagang"
"Bagaimana cara pondok memantau sholat 5 waktu santri?","Kami menggunakan sistem absensi jamaah. Setiap waktu sholat, pengurus kamar/kamtib akan mengecek keberadaan santri. Jika absen tanpa udzur syar'i, akan ada takzir (hukuman mendidik).","sholat jamaah, absen, disiplin sholat, pantauan"
"Apa itu kitab 'Fathul Qorib'?","Fathul Qorib adalah kitab fiqih mazhab Syafi'i yang sangat populer di pesantren. Kitab ini membahas detail hukum ibadah (thaharah, sholat) hingga muamalah, dan menjadi materi wajib di sini.","fathul qorib, kitab fiqih, pelajaran, materi"
"Apakah santri Tahfidz tetap sekolah formal?","Ya, di Al-Ikhsan, santri Tahfidz tetap wajib sekolah formal (pagi). Hafalan dilakukan di waktu-waktu khusus (subuh, sore, malam). Kami ingin mencetak penghafal Al-Quran yang juga berwawasan luas.","tahfidz sekolah, bagi waktu, sekolah formal, hafal sambil sekolah"
"Bagaimana jika santri menghilangkan barang milik pondok?","Sesuai aturan 'Ghoshob' dan tanggung jawab, santri yang menghilangkan atau merusak fasilitas pondok wajib menggantinya sesuai nilai barang tersebut.","ganti rugi, merusak, hilang, barang pondok, sanksi"
"Apakah ada program pertukaran pelajar?","Saat ini kami fokus pada penguatan internal dan mendatangkan tamu/turis asing untuk praktik bahasa (seperti disebutkan dalam metode AEDS: praktik dengan native/turis).","pertukaran pelajar, studi banding, luar negeri, native speaker"
"Apa sanksi bagi santri yang pacaran?","Pacaran adalah pelanggaran berat syariat dan aturan pondok. Sanksinya sangat tegas, mulai dari penyitaan alat komunikasi, pemanggilan orang tua, hingga dikeluarkan jika terbukti melanggar batas asusila.","pacaran, lawan jenis, sanksi berat, hubungan, aturan"
"Bagaimana prosedur perizinan sakit pulang ke rumah?","Izin pulang karena sakit hanya diberikan jika Poskestren sudah tidak sanggup menangani atau butuh rujukan dokter spesialis. Harus ada rekomendasi dari pengurus kesehatan pondok.","izin sakit, pulang berobat, prosedur, syarat pulang"
"Apakah ada pelajaran kaligrafi (Khat)?","Biasanya seni Kaligrafi masuk dalam muatan lokal atau kegiatan pengembangan minat bakat, terutama untuk memperbaiki tulisan Arab (Imla) santri.","kaligrafi, khat, tulisan arab, seni tulis"
"Bagaimana kualitas makanan katering santri?","Makanan disiapkan dengan standar gizi seimbang (nasi, lauk, sayur). Kami memastikan makanan halal dan thoyyib. Menu bervariasi agar santri tidak bosan.","makanan, gizi, menu, katering, enak gak"
"Apakah santri boleh membawa lemari es mini?","Tidak boleh. Alat elektronik berdaya besar dilarang keras di asrama karena keterbatasan daya listrik dan faktor keamanan kebakaran.","kulkas, elektronik, larangan, listrik"
"Bagaimana dukungan alumni Al-Ikhsan?","Kami memiliki ikatan alumni yang kuat. Alumni sering mengadakan reuni dan membantu adik-adik kelasnya yang baru lulus untuk informasi kuliah atau kerja (networking).","alumni, ikatan, lulusan, jaringan, bantuan"
"Apakah ada kegiatan Nonton Bersama?","Ya, ada agenda Nonton Bersama (Nobar) setiap Sabtu malam di minggu keempat setiap bulan. Biasanya film edukasi, sejarah Islam, atau dokumenter untuk hiburan mendidik.","nonton bareng, nobar, hiburan, film, malam minggu"
"Apa itu kegiatan 'Drama Bahasa Asing'?","Ini adalah panggung gembira di mana santri menampilkan drama teater menggunakan Bahasa Arab dan Inggris sepenuhnya. Diadakan setiap Sabtu malam minggu ketiga. Melatih percaya diri dan bahasa.","drama, teater, seni peran, bahasa asing, tampil"
"Kapan waktu tidur santri?","Setelah kegiatan malam selesai (sekitar 22.15), santri melakukan mudarosah (belajar mandiri) sebentar, lalu istirahat tidur agar bisa bangun sebelum subuh (Qiamul Lail).","jam tidur, istirahat, begadang, jadwal"
"Apakah ada pembacaan Al-Barzanji?","Ya, kami melestarikan tradisi salaf. Kajian kitab Al-Barzanji dan Istighotsah dilakukan setiap Sabtu malam di minggu pertama setiap bulan.","barzanji, sholawat, tradisi, nu, istighotsah"
"Bagaimana cara mendaftar ulang jika sudah diterima online?","Bawa bukti pendaftaran yang dicetak dari website, bawa berkas asli (KK, Akta, dll), dan datang ke sekretariat pondok untuk pengukuran seragam dan pembayaran administrasi.","daftar ulang, lapor diri, pemberkasan, prosedur"
"Apakah pondok ini berafiliasi dengan ormas tertentu?","Pondok Pesantren Al-Ikhsan berhaluan Ahlussunnah Wal Jama'ah (Aswaja), yang secara kultural dekat dengan Nahdlatul Ulama (NU), mengedepankan tasamuh (toleransi) dan tawasuth (moderat).","ormas, nu, muhammadiyah, aswaja, aliran"
"Apa itu 'Simakan Hafalan Kamis Wage'?","Ini adalah tradisi khusus di Pondok Tachfizul-Quran. Simakan (uji hafalan) dilakukan rutin pada hari Jumat Pagi dan Kamis Wage untuk menjaga kelancaran hafalan santri.","kamis wage, simakan, jadwal khusus, tradisi jawa"
"Bolehkah santri membawa buku bacaan luar (Novel/Komik)?","Buku pelajaran sangat dianjurkan. Novel/Komik hiburan dibatasi agar tidak mengganggu waktu belajar. Konten buku harus mendidik dan tidak bertentangan dengan nilai pesantren.","buku bacaan, novel, komik, literasi, bawa buku"
"Apakah ada Wi-Fi untuk santri?","Wi-Fi umumnya tersedia di area kantor atau lab komputer untuk keperluan pendidikan/sekolah. Akses untuk santri dibatasi dan dipantau (firewall) agar tidak mengakses konten negatif.","wifi, internet, akses, hotspot, online"
"Apa yang dimaksud 'Santri Mahasiswa'?","Mereka adalah mahasiswa (UNSOED, IAIN, dll) yang memilih tinggal di pondok (bukan kos). Siang kuliah, pagi/sore/malam mengaji. Ini solusi hemat dan berkah bagi mahasiswa perantauan.","santri mahasiswa, kuliah mondok, unsoed, purwokerto"
"Bagaimana jika terjadi kehilangan uang?","Kami sarankan uang disimpan di Tabungan Santri. Jika menyimpan tunai di lemari dan hilang, itu kelalaian santri. Namun, pengurus akan bantu investigasi jika ada indikasi pencurian.","uang hilang, maling, keamanan, tabungan"
"Apakah ada transportasi umum ke arah pondok?","Dari terminal Purwokerto, ada angkutan umum/angkot atau ojek online yang bisa mengantar sampai ke Desa Beji. Lokasinya cukup mudah diakses kendaraan umum.","transportasi, angkot, rute, terminal, akses"
"Apa bedanya 'Mudarosah' dan 'Mutholaah'?","Mutholaah adalah membaca/mempelajari kembali pelajaran sendiri. Mudarosah biasanya belajar bersama/diskusi kelompok membahas pelajaran diniyah di kamar sebelum tidur.","belajar, istilah, mudarosah, mutholaah, diskusi"
"Berapa lama program Hard Teaching System (HTS) berlangsung?","HTS adalah program kilat 20 hari selama bulan Ramadhan (tanggal 1-20 Ramadhan). Sangat intensif dan cocok untuk mengisi liburan puasa dengan ilmu bermanfaat.","durasi hts, lama kursus, ramadhan, kilat"
"Apakah ada kelas akselerasi (percepatan)?","Di Diniyah, kenaikan kelas berbasis kemampuan. Jika santri sangat cerdas dan cepat menguasai kitab (lulus tes sorogan), ia bisa saja naik kelas lebih cepat dari teman seangkatan.","akselerasi, lompat kelas, cepat lulus, pintar"
"Bagaimana penanganan sampah di pondok?","Kebersihan sebagian dari iman. Santri piket membuang sampah pada tempatnya, dan kami bekerjasama dengan dinas kebersihan setempat atau pengelola sampah desa untuk pengangkatan sampah.","sampah, kebersihan, lingkungan, kotor"
"Apakah ada laundry syariah (suci hama)?","Jika pondok menyediakan atau bekerjasama dengan laundry, kami memastikan proses pencuciannya memenuhi standar 'thaharah' (suci dari najis), bukan sekadar bersih wangi.","laundry syariah, suci, najis, cuci baju"
"Apa syarat menjadi ustadz/pengajar di sini?","Selain kemampuan akademis/kitab, syarat utamanya adalah akhlakul karimah dan sanad keilmuan yang jelas. Sebagian besar pengajar adalah alumni senior atau lulusan pesantren besar lain.","syarat ustadz, kualifikasi, guru, pengajar"
"Apakah ada diskon biaya untuk saudara kandung?","Biasanya ada kebijakan potongan uang pangkal untuk kakak-beradik yang masuk bersamaan. Detail nominalnya silakan tanyakan langsung ke bendahara saat wawancara keuangan.","diskon, kakak adik, saudara, potongan harga"
"Kenapa harus memilih Al-Ikhsan dibanding pondok lain?","Karena kami memadukan tiga kekuatan: Kedalaman ilmu agama (Salaf), Kemampuan Bahasa Internasional (AEDS Modern), dan Pendidikan Formal yang berkualitas. Biaya terjangkau, lokasi strategis.","keunggulan, kenapa memilih, alasan, kelebihan"
"Saya tidak menerima email verifikasi setelah mendaftar, sudah cek Inbox kosong.","Mohon cek folder 'Spam' atau 'Junk' di email Anda, kadang masuk ke sana. Jika tetap tidak ada dalam 10 menit, coba klik tombol 'Kirim Ulang Verifikasi' di halaman login. Pastikan email yang Anda ketik tidak typo (salah ketik).","email verifikasi, tidak masuk, spam, junk, kode otp"
"Muncul pesan error '413 Request Entity Too Large' saat upload berkas. Artinya apa?","Itu artinya file yang Anda upload melebihi batas maksimal server. Mohon kompres file PDF atau JPG Anda menjadi di bawah 2MB menggunakan situs kompresi online (seperti ilovepdf atau tinyjpg) lalu coba upload ulang.","413 error, file terlalu besar, gagal upload, kompres, size"
"Tombol 'Simpan' berwarna abu-abu dan tidak bisa diklik, kenapa?","Biasanya tombol 'Simpan' baru aktif jika semua kolom bertanda bintang merah (*) sudah terisi lengkap. Cek kembali formulir Anda, mungkin ada kolom NIK atau Tanggal Lahir yang terlewat atau formatnya salah.","tombol macet, tidak bisa klik, simpan, abu-abu, disable"
"Apakah NIK harus 16 digit? Saya ketik tapi muncul merah-merah.","Betul, sistem memvalidasi NIK harus tepat 16 digit angka sesuai KTP/KK. Pastikan tidak ada spasi atau tanda baca (-). Jika NIK anak belum keluar, gunakan NIK sementara yang tertera di bagian atas KK.","nik, validasi, 16 digit, merah, error form"
"Saya tidak sengaja menekan tombol 'Finalisasi Data', apakah masih bisa edit biodata?","Mohon maaf, data yang sudah di-Finalisasi otomatis terkunci (Lock) agar siap diverifikasi panitia. Jika ada perubahan fatal, Anda wajib menghubungi Admin IT via WhatsApp untuk meminta pembukaan kunci akses (Unlock).","finalisasi, terkunci, edit data, salah input, unlock"
"Koneksi internet saya putus saat sedang mengisi formulir panjang, apakah data hilang?","Jika Anda belum menekan tombol 'Simpan', kemungkinan data yang baru diketik akan hilang saat halaman di-refresh. Kami sarankan mengisi data secara bertahap dan rajin menekan tombol Simpan di setiap bagian.","koneksi putus, data hilang, refresh, simpan otomatis"
"Bagaimana cara scan ijazah jika saya tidak punya scanner?","Anda bisa menggunakan aplikasi HP seperti 'CamScanner' atau 'Google Drive Scan'. Pastikan foto tegak, pencahayaan terang, tulisan terbaca jelas, dan tidak ada bayangan tangan. Simpan dalam format PDF atau JPG.","scan, aplikasi hp, camscanner, foto dokumen, ijazah"
"Saya lupa password dan email pemulihan saya sudah tidak aktif/hilang. Solusinya?","Kasus ini memerlukan verifikasi manual. Silakan hubungi Admin PSB dengan menyertakan Nama Lengkap Santri dan Foto KK/Akte untuk pencocokan data. Admin akan membantu mereset email akun Anda dari database.","email mati, lupa sandi, akun hilang, reset manual, admin"
"Apakah satu akun bisa dipakai untuk mendaftar jenjang yang berbeda (misal MTs dan MA)?","Tidak. Satu akun pendaftaran terikat pada satu formulir jenjang. Jika Anda ingin mendaftar untuk dua anak beda jenjang, mohon buat dua akun berbeda dengan email yang berbeda pula.","dua jenjang, akun ganda, mts ma, formulir"
"Muncul pesan '500 Internal Server Error' saat klik menu pembayaran.","Ini menandakan server sedang sibuk atau ada gangguan sementara dari sisi kami. Mohon tunggu sekitar 15-30 menit, lalu refresh browser Anda. Jangan melakukan transfer uang dulu sebelum halaman normal kembali.","500 error, server down, gangguan, lag, maintenance"
"Bukti transfer saya buram/tidak terbaca, apakah akan ditolak?","Kemungkinan besar iya. Admin Keuangan butuh bukti jelas untuk validasi mutasi bank. Mohon upload ulang foto struk yang jelas. Jika struk hilang, bisa screenshot riwayat mutasi di m-banking Anda.","bukti transfer, buram, ditolak, struk, mbanking"
"Format tanggal lahirnya DD-MM-YYYY atau MM-DD-YYYY? Saya bingung.","Sistem kami menggunakan format Indonesia: Tanggal-Bulan-Tahun (DD-MM-YYYY). Anda juga bisa menggunakan fitur 'Date Picker' (ikon kalender) di samping kolom isian untuk menghindari kesalahan format.","format tanggal, date, lahir, salah tahun, kalender"
"Kenapa foto profil saya terbalik/miring (rotate) setelah diupload?","Ini kadang terjadi karena metadata kamera HP. Anda bisa mengedit/merotasi foto tersebut di galeri HP terlebih dahulu sampai tegak lurus, simpan, baru kemudian upload ulang ke aplikasi.","foto miring, terbalik, rotate, profil, upload"
"Apakah saya bisa mencicil pembayaran daftar ulang lewat aplikasi?","Aplikasi hanya mencatat pembayaran yang masuk. Jika Anda sudah sepakat dengan bendahara untuk mencicil, silakan transfer sesuai nominal cicilan, lalu upload bukti. Status di aplikasi mungkin akan tertulis 'Belum Lunas' sampai cicilan selesai.","cicil, aplikasi, status pembayaran, lunas, bendahara"
"Saya mendaftar lewat iPhone (Safari) tapi tampilannya berantakan.","Terkadang ada isu kompatibilitas browser. Kami sarankan menggunakan browser 'Google Chrome' atau 'Mozilla Firefox' versi terbaru, baik di Android, iOS, maupun Laptop untuk tampilan yang paling stabil.","iphone, safari, tampilan rusak, browser, chrome"
"Bagaimana cara mencetak Kartu Bukti Pendaftaran?","Setelah status Anda 'Diverifikasi' dan 'Lunas', menu 'Cetak Kartu' akan muncul di Dashboard. Klik tombol tersebut, file PDF akan terunduh. Silakan print menggunakan kertas HVS ukuran A4/F4.","cetak kartu, print, bukti daftar, download pdf, kartu ujian"
"Apa yang harus diisi di kolom 'NISN' jika anak saya lulusan SD luar negeri?","Jika tidak memiliki NISN (Nomor Induk Siswa Nasional), silakan isi dengan angka '0000000000' (nol 10 kali) sementara. Nanti akan diproses pembuatan NISN baru oleh operator sekolah setelah diterima.","nisn, luar negeri, kosong, nomor induk, tidak punya"
"Saya salah memilih jenis kelamin di awal pendaftaran, tidak bisa diubah.","Jenis kelamin menentukan penempatan asrama (Putra/Putri), jadi sistem menguncinya. Anda HARUS lapor ke Admin segera untuk diubah dari sistem pusat. Jangan lanjutkan pembayaran sebelum data ini benar.","jenis kelamin, salah pilih, gender, putra putri, fatal"
"Berapa digit kode Virtual Account (VA) untuk pembayaran?","Jika menggunakan VA, biasanya terdiri dari Kode Bank + Nomor HP/ID Pendaftaran. Pastikan salin (copy) nomor VA langsung dari aplikasi untuk menghindari salah transfer. Jangan mengetik manual jika ragu.","va, virtual account, kode bayar, digit, transfer"
"Apakah bisa bayar pendaftaran lewat Alfamart/Indomaret?","Saat ini kami belum terintegrasi langsung. Namun Anda bisa melakukan 'Top Up' e-wallet (DANA/OVO/GoPay) di Alfamart, lalu transfer dari e-wallet tersebut ke rekening pondok.","alfamart, indomaret, bayar tunai, cash, minimarket"
"Token sesi Anda telah berakhir (Session Expired), silakan login kembali. Maksudnya?","Ini fitur keamanan. Jika Anda mendiamkan halaman website terlalu lama (lebih dari 30 menit) tanpa aktivitas, sistem otomatis logout. Silakan login ulang dan lanjutkan pengisian data.","session expired, logout sendiri, sesi habis, login ulang"
"Di kolom 'Penghasilan Orang Tua', apakah gaji kotor atau bersih?","Isikan estimasi rata-rata penghasilan bersih per bulan (Gaji Ayah + Ibu). Data ini bersifat rahasia dan hanya digunakan untuk pemetaan demografi ekonomi santri atau pertimbangan beasiswa.","penghasilan, gaji, data orang tua, nominal, privasi"
"Nama di Akta dan Ijazah anak saya beda satu huruf, pakai yang mana?","Gunakan nama sesuai AKTA KELAHIRAN sebagai rujukan utama legalitas kependudukan. Perbedaan nama di ijazah sebaiknya diurus surat keterangannya di sekolah asal, tapi untuk daftar pondok, pakai Akta.","beda nama, ijazah akta, salah huruf, data valid"
"Saya tidak punya rekening bank sendiri, apakah boleh pakai rekening tetangga untuk transfer?","Boleh. Yang terpenting adalah BUkTI TRANSFER diupload ke akun anak Anda dan nominalnya tepat. Tuliskan nama santri di berita acara transfer jika memungkinkan untuk memudahkan pengecekan.","rekening orang lain, transfer, pinjam rekening, pembayaran"
"Apakah file SKL (Surat Keterangan Lulus) bisa dipakai pengganti Ijazah?","Bisa. Bagi pendaftar yang ijazah aslinya belum keluar dari sekolah asal, WAJIB mengupload SKL atau Surat Keterangan Aktif Sekolah kelas akhir sebagai dokumen sementara.","skl, ijazah belum keluar, dokumen sementara, pengganti"
"Kolom 'Prestasi' apakah wajib diisi? Saya tidak punya sertifikat.","Tidak wajib. Kolom prestasi bersifat opsional. Jika tidak ada, kosongkan saja atau beri tanda strip (-). Jangan upload sertifikat palsu atau gambar sembarangan.","prestasi, sertifikat, wajib gak, kosongkan, juara"
"Saat upload Kartu Keluarga (KK), apakah harus scan asli atau fotokopi boleh?","Disarankan scan dokumen KK ASLI yang berwarna biru/tanda tangan basah. Jika terpaksa fotokopi, pastikan sudah dilegalisir basah dan tulisannya terbaca sangat jelas (tidak hitam ngeblok).","kk, scan asli, fotokopi, legalisir, dokumen"
"Bagaimana jika alamat domisili saya beda dengan alamat di KK?","Di formulir biasanya ada opsi 'Alamat Domisili sama dengan KK?'. Jika beda, hilangkan centangnya dan isi alamat tempat tinggal Anda yang sekarang secara manual.","alamat beda, domisili, ktp, tempat tinggal, formulir"
"Google Maps titik koordinat rumah saya tidak akurat, gimana?","Anda bisa menggeser pin (jarum merah) di peta aplikasi secara manual ke lokasi atap rumah Anda yang sebenarnya. Akurasi titik koordinat penting untuk data zonasi atau kunjungan.","maps, lokasi, koordinat, peta salah, geser pin"
"Apakah aplikasi pendaftaran ini aman untuk data pribadi saya?","Aplikasi kami menggunakan enkripsi SSL (Gembok Hijau) dan database yang diproteksi. Data Anda hanya diakses oleh panitia PSB (Penerimaan Santri Baru) untuk keperluan pendidikan dan tidak diperjualbelikan.","keamanan data, privasi, aman, bocor, ssl"
"Saya sudah transfer tapi status di aplikasi masih 'Menunggu Pembayaran' sudah 2 hari.","Kemungkinan transfer Anda tidak terbaca mutasi otomatis (misal transfer dari agen BRILink manual). Segera fotokan bukti transfer dan kirim ke WhatsApp Bendahara Pondok untuk validasi manual.","status macet, belum berubah, sudah bayar, konfirmasi"
"Apakah nomor HP yang didaftarkan harus nomor WA aktif?","Sangat Wajib. Semua notifikasi penting, tagihan, dan pengumuman darurat akan dikirim via WhatsApp. Pastikan nomor tersebut selalu aktif dan bisa dihubungi selama proses pendaftaran.","nomor wa, whatsapp aktif, notifikasi, wajib"
"Bagaimana cara mengecilkan ukuran foto di HP tanpa aplikasi tambahan?","Biasanya bisa dengan cara: Screenshot foto tersebut, lalu crop bagian tepinya. Hasil screenshot biasanya memiliki ukuran file (KB) yang jauh lebih kecil daripada foto asli kamera.","kecilkan foto, kompres manual, screenshot, tips"
"Ada kolom 'Riwayat Penyakit', apakah kalau diisi anak saya tidak diterima?","Tidak. Justru WAJIB diisi jujur (misal: asma, epilepsi, maag akut) agar tim kesehatan pondok siaga dan bisa menangani dengan tepat jika kambuh. Menyembunyikan riwayat penyakit justru berbahaya.","penyakit, riwayat kesehatan, jujur, diterima gak"
"Sistem menolak password baru saya, katanya 'Too Weak'.","Password harus memenuhi kriteria keamanan minimal. Coba kombinasi: Minimal 8 karakter, ada Huruf Besar, Huruf Kecil, dan Angka. Contoh: 'Santri2025'.","password lemah, too weak, sandi, keamanan, syarat"
"Tombol 'Cetak Kartu' tidak muncul di HP, tapi di Laptop ada.","Ini masalah resolusi layar (responsiveness). Coba putar HP Anda menjadi Landscape (miring), atau gunakan mode 'Desktop Site' pada pengaturan browser HP Anda agar tombolnya terlihat.","tampilan hp, tombol hilang, desktop mode, landscape"
"Apakah uang pendaftaran bisa ditarik kembali jika membatalkan diri?","Secara aturan yayasan, uang pendaftaran (formulir) yang sudah masuk TIDAK BISA ditarik kembali (non-refundable), karena dianggap sebagai biaya administrasi sistem. Mohon pertimbangkan matang-matang.","refund, tarik uang, batal daftar, uang kembali, aturan"
"Saya kembar, wajahnya sama. Apakah boleh pakai satu foto berdua?","Tidak boleh. Foto profil harus sendiri-sendiri (close up) untuk kebutuhan kartu identitas santri. Walaupun kembar, biodata tetap terpisah per individu.","kembar, foto berdua, satu foto, identitas"
"Apa yang dimaksud dengan 'Jalur Prestasi' dan 'Jalur Reguler'?","Jalur Prestasi biasanya untuk pendaftar yang memiliki sertifikat hafalan Quran atau juara lomba tingkat kota/provinsi (ada seleksi berkas). Jalur Reguler adalah pendaftaran umum melalui tes standar.","jalur masuk, prestasi, reguler, beda jalur"
"Apakah saya perlu mengirim berkas fisik via Pos setelah daftar online?","Tergantung pengumuman terbaru. Biasanya berkas fisik dibawa langsung saat DAFTAR ULANG (datang ke pondok). Namun cek instruksi di Kartu Bukti Pendaftaran Anda.","berkas fisik, kirim pos, online saja, hardcopy"
"Kenapa NIK Ayah/Ibu wajib diisi? Mereka sudah meninggal.","NIK orang tua diperlukan untuk sinkronisasi data EMIS (Kemenag) dan Dapodik (Kemdikbud). Jika sudah meninggal, tetap isi NIK beliau (lihat di KK lama) dan pilih status 'Meninggal Dunia' di kolom status.","nik ortu, meninggal, yatim, data wajib, emis"
"Aplikasi loading terus (muter-muter) saat dibuka.","Cek sinyal internet Anda. Jika sinyal bagus tapi tetap loading, coba hapus Cache browser Anda (Clear Cache) atau coba ganti browser lain. Terkadang cache lama membuat aplikasi 'nyangkut'.","loading, lemot, hapus cache, nyangkut, blank"
"Bisakah saya mengganti pilihan 'Ukuran Seragam' setelah finalisasi?","Ukuran seragam dipesan ke konveksi berdasarkan data final. Perubahan mendadak sulit dilakukan. Namun, saat pembagian seragam di pondok, biasanya ada sesi tukar ukuran jika stok tersedia.","ukuran baju, seragam, ganti ukuran, xl l m, konveksi"
"Kolom 'Hobi' tidak ada pilihannya yang cocok dengan anak saya.","Pilih opsi 'Lainnya' jika tersedia, atau pilih yang paling mendekati. Data hobi ini hanya data sekunder untuk kegiatan ekstrakurikuler, tidak mempengaruhi kelulusan.","hobi, pilihan, dropdown, isi data"
"Siapa yang harus menandatangani 'Surat Pernyataan Santri'?","Surat pernyataan harus ditandatangani oleh Santri (yang bersangkutan) dan Wali Santri (Orang Tua) di atas meterai 10.000. Ini berkekuatan hukum untuk kepatuhan tata tertib.","tanda tangan, surat pernyataan, meterai, legal"
